"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "CSS", "HTML", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\A\TravelX-Website\ang\src\app\blog\blog.component.css", "CSS", 0, 0, 0, 0, 42, 0, 0, 0, 2, 5, 49
"c:\Users\A\TravelX-Website\ang\src\app\blog\blog.component.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\A\TravelX-Website\ang\src\app\blog\blog.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\blog\blog.component.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 2, 9, 51
"c:\Users\A\TravelX-Website\ang\src\app\config.service.spec.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\A\TravelX-Website\ang\src\app\config.service.ts", "TypeScript", 0, 0, 0, 167, 0, 0, 0, 0, 27, 30, 224
"c:\Users\A\TravelX-Website\ang\src\app\configuration.ts", "TypeScript", 0, 0, 0, 842, 0, 0, 0, 0, 0, 55, 897
"c:\Users\A\TravelX-Website\ang\src\app\contactus\contactus.component.css", "CSS", 0, 0, 0, 0, 126, 0, 0, 0, 2, 9, 137
"c:\Users\A\TravelX-Website\ang\src\app\contactus\contactus.component.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 0, 2, 0, 28
"c:\Users\A\TravelX-Website\ang\src\app\contactus\contactus.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\contactus\contactus.component.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 9, 31
"c:\Users\A\TravelX-Website\ang\src\app\features\features.component.css", "CSS", 0, 0, 0, 0, 33, 0, 0, 0, 0, 8, 41
"c:\Users\A\TravelX-Website\ang\src\app\features\features.component.html", "HTML", 0, 0, 0, 0, 0, 25, 0, 0, 9, 1, 35
"c:\Users\A\TravelX-Website\ang\src\app\features\features.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\features\features.component.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 2, 11, 35
"c:\Users\A\TravelX-Website\ang\src\app\feedback\feedback.component.css", "CSS", 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"c:\Users\A\TravelX-Website\ang\src\app\feedback\feedback.component.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"c:\Users\A\TravelX-Website\ang\src\app\feedback\feedback.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\feedback\feedback.component.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 9, 26
"c:\Users\A\TravelX-Website\ang\src\app\header\header.component.css", "CSS", 0, 0, 0, 0, 87, 0, 0, 0, 10, 13, 110
"c:\Users\A\TravelX-Website\ang\src\app\header\header.component.html", "HTML", 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 50
"c:\Users\A\TravelX-Website\ang\src\app\header\header.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\header\header.component.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 35, 35, 130
"c:\Users\A\TravelX-Website\ang\src\app\in-memory-data.service.spec.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\A\TravelX-Website\ang\src\app\in-memory-data.service.ts", "TypeScript", 0, 0, 0, 119, 0, 0, 0, 0, 10, 32, 161
"c:\Users\A\TravelX-Website\ang\src\app\login\login.component.css", "CSS", 0, 0, 0, 0, 199, 0, 0, 0, 5, 34, 238
"c:\Users\A\TravelX-Website\ang\src\app\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\A\TravelX-Website\ang\src\app\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\login\login.component.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 2, 10, 50
"c:\Users\A\TravelX-Website\ang\src\app\navmenu\navmenu.component.css", "CSS", 0, 0, 0, 0, 57, 0, 0, 0, 36, 14, 107
"c:\Users\A\TravelX-Website\ang\src\app\navmenu\navmenu.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 18
"c:\Users\A\TravelX-Website\ang\src\app\navmenu\navmenu.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\A\TravelX-Website\ang\src\app\navmenu\navmenu.component.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 6, 18
"c:\Users\A\TravelX-Website\ang\src\app\notfound\notfound.component.css", "CSS", 0, 0, 0, 0, 13, 0, 0, 0, 1, 2, 16
